Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2015,85.75129380022611,-14.248706199773892,19.64643412299046,-0.7252566094475082,-19.231618385801003
2016,76.908233682738,-10.312450956238273,27.690223950885617,-0.37242208566205726,-20.130854784666745
2017,88.03350802869966,14.465647971913723,17.071930585639475,0.8473352149218497,-16.08347556180179
2018,75.20079580691025,-14.577076966654372,25.774875006699137,-0.5655537403330045,-29.377513778513055
2019,84.7039319113275,12.637015343319016,18.125273360873056,0.6972041244132893,-17.324693413734916
2020,82.11376687311724,-3.057904137108746,44.01263861296991,-0.0694778643925162,-47.678260144281495
2021,98.76193148579,20.274510897055322,19.46921626302441,1.0413624576948335,-13.457486626049498
2022,99.9862999314245,1.2397169913699595,22.41830308659756,0.05529932335115521,-19.670521031414204
2023,140.29870994640854,40.3179335995354,21.16670955418278,1.9047804051134685,-18.588243932715635
2024,100.4316524045333,-28.41584042868513,24.531152776089765,-1.158357321730992,-31.171275514740525
