Year,Winners,Median,Losers,Annualized_Return_Winners,Annualized_Return_Median,Annualized_Return_Losers,Volatility_Winners,Volatility_Median,Volatility_Losers,Sharpe_Ratio_Winners,Sharpe_Ratio_Median,Sharpe_Ratio_Losers,MDD_Winners,MDD_Median,MDD_Losers
2015,124.28560380959988,110.94260259488496,69.62021799474738,24.285603809599877,10.94260259488496,-30.379782005252622,22.978446572097862,22.31217920473254,27.21893151645193,1.0568862317737902,0.49043181728138735,-1.116126912876436,-12.616081017520791,-14.242853618942855,-33.17931796963638
2016,137.20490838317028,109.73475066466739,86.21021081527147,10.394852000206082,-1.0887178612783512,23.829274452682338,28.752303796280845,28.746435423751837,31.327161872662764,0.36153109934622607,-0.037873143060332085,0.7606585795911707,-26.79775168082714,-19.231076934389748,-22.245832310424948
2017,146.2797284333928,131.00188049711335,79.03390269206014,6.614063707458182,19.380487679272225,-8.324197395350877,21.2417407943175,18.67789287226887,19.342025756662057,0.31137107695182625,1.0376163848785374,-0.4303684371055983,-21.923061126122235,-17.130366143822222,-28.696910170812757
2018,97.74978427945084,124.76724748758059,79.64318246608943,-33.17612404239569,-4.759193521401503,0.7709093860684405,29.776126785474798,25.653657386195185,26.37959370349788,-1.1141853432253472,-0.18551715452325848,0.029223702030187808,-41.923764831057234,-21.276197332168564,-24.638833347317483
2019,118.18678989310368,156.71113245760927,104.759453958298,20.907468762515883,25.602780868599663,31.535996822957955,22.712972206082206,19.232618289326812,24.160535736768118,0.9205078301868905,1.331216607299277,1.305268938013062,-17.474394127277893,-14.323201909849425,-20.92399954825691
2020,113.80509435212622,162.8268012922001,115.7828519217317,-3.7074325691903214,3.902510778068127,10.522580585253753,51.293718910563406,52.17802798158006,51.95546371758986,-0.07227849038699384,0.07479222440997187,0.20253077987043863,-64.4021161526974,-54.74772713716561,-49.077773415217465
2021,143.9861335973938,192.91632861019707,213.847583016519,26.51993692996197,18.47946841625904,84.6971114177411,30.473145279039258,21.266797551906286,27.354717123748852,0.8702723885940163,0.8689351732979937,3.096252504991494,-19.147378701792835,-14.770847422771896,-10.54240053498741
2022,173.78703167305918,179.44317160529818,178.83579664801053,20.69706112047777,-6.983938115535306,-16.372308667058412,24.900675825334655,28.02344239058873,34.44894408425362,0.8311847142485985,-0.24921770916626435,-0.47526300449197467,-14.00751847479897,-29.376808425834923,-33.0766966982128
2023,246.7306717076732,225.9289260822789,254.06902495731026,41.97300531137497,25.905557765792526,42.068327325639295,30.016144155561054,28.753477215193623,30.071752754729115,1.3983476723008301,0.9009539114839221,1.3989316708193402,-36.60724922809454,-27.98288755810503,-21.317325018948978
2024,205.6908591431789,204.04344193338136,200.54876467224048,-16.63344580568334,-9.686888938217358,-21.065244098158946,22.713900186571795,22.90508175541852,26.25289383298095,-0.7323024962272595,-0.42291440133916075,-0.8023970321966994,-20.791377132621378,-17.14343500581042,-31.668560913598974
