Year,Value,Annualized_Return,Yearly_Volatility,Sharpe_Ratio,Max_drawdown
2015,58.22822535077532,-41.77177464922468,35.37950625298748,-1.1806771510752057,-44.55585741342494
2016,95.76982569052625,64.4732002625786,39.93044523604769,1.6146376500799606,-18.538897674873585
2017,118.38712924864073,23.616314841378934,30.175621597676873,0.7826289431995356,-19.016119100000008
2018,115.40549794179357,-2.5185434647925606,33.01549382636808,-0.07628368298950314,-34.01788877216855
2019,147.3344333768187,27.666736857830603,26.40799223644538,1.0476652904967172,-18.632384109476256
2020,117.34432891658305,-20.35512254187977,63.14849976079815,-0.3223373891538749,-56.9943943325099
2021,97.02729217937001,-17.314033771206688,31.441830805131016,-0.5506687533087672,-32.028338286954444
2022,108.75949333311617,12.091650596676825,34.961311211296575,0.3458580407238792,-32.243086143766774
2023,144.23752448977152,32.620629307264934,25.924129333582048,1.2583114706578886,-17.421018870425737
2024,100.81984313031045,-30.101515894041846,22.084931631082263,-1.3629888648456157,-30.74821390789596
